TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
59,5, ,autonomous,0,1,0,73.0725566491,1,0,-45.4466581345,15,0,15,-45.4466581345,1,15.6630507322,4.67,4.46,416.0252943379,obstacle detected,35.9617881775,obstacle detected,32.8076782227,85,0.125,0,sunny,4.7624309392,0,93.2508400765,-0.029274652
60,4, ,autonomous,0,1,0,73.0643167773,1,0,6.8746854365,15,0,15,6.8746854365,1,15.6536692988,4.45,4.33,386.1451133336, ,0,obstacle detected,18.1955928802,77,-0.175,0,sunny,4.7624309392,-1,49.1907413354,0.0228917804
61,4, ,autonomous,0,1,0,72.8033875029,1,0,-10.1298406359,15,0,15,-10.1298406359,1,15.6692127947,4.72,4.55,393.4374631152, ,0,obstacle detected,4.2305493355,83,0.245,0,sunny,4.7624309392,0,21.8017830978,-0.0334196997
62,4, ,autonomous,0,1,0,72.9214923323,1,0,21.7174976254,20,0,20,21.7174976254,1,15.6461828144,4.1,4.21,403.6815759729, ,0, ,0,82,-0.48,0,sunny,4.7624309392,0,-23.3830081734,0.0270407645
63,4, ,autonomous,0,1,0,72.9214923323,1,0,14.2414523622,15,0,15,14.2414523622,1,15.6728962517,4.59,4.42,399.5684660567, ,0, ,0,76,0.35,0,sunny,4.7624309392,0,-20.513528059,-0.0365234309
64,4, ,autonomous,0,1,0,72.9214923323,1,0,23.6264340355,20,0,20,23.6264340355,1,15.6411889727,4.27,5,392.7421255204, ,0, ,0,85,0.13,0,sunny,4.7624309392,0,-32.4395535109,0.0297626208
65,4, ,autonomous,0,1,0,72.9214923323,1,0,21.4061188018,15,0,15,21.4061188018,1,15.6745226831,4.28,4.09,410.6438896189, ,0, ,0,84,-0.45,0,sunny,4.7624309392,0,-31.9949521337,-0.0347358275
66,4, ,autonomous,0,1,0,72.9214923323,1,0,29.967108971,20,0,20,29.967108971,1,15.6372313184,4.39,4.16,412.1671750062, ,0, ,0,86,0.09,0,sunny,4.7624309392,0,-41.29780525,0.0303727528
67,5, ,autonomous,0,1,0,72.9105058366,1,0,36.8833295624,15,0,15,36.8833295624,1,15.6744189361,4.1,4.04,413.958686923, ,0, ,0,91,-0.205,0,sunny,4.7624309392,1,-52.1678873912,-0.0291805252
68,5, ,autonomous,0,1,0,72.9105058366,1,0,47.8041819421,20,0,20,47.8041819421,1,15.6337760802,3.67,3.63,427.7708859135, ,0, ,0,81,-0.42,0,sunny,4.7624309392,0,-60.8811267544,0.0297509812
69,5, ,autonomous,0,1,0,73.6136415656,1,0,56.0654267719,15,0,15,56.0654267719,1,15.6765610792,4.23,4.1,432.4885390537, ,0, ,0,76,0.515,0,sunny,4.7624309392,0,-68.8637818376,-0.0244369139
70,5, ,autonomous,0,1,0,82.6775005722,1,0,11.671942462,20,0,20,11.671942462,1,15.6357930949,4.16,4.09,468.9991558015, ,0, ,0,94,-0.04,0,sunny,4.7624309392,0,-25.4888688273,0.023196311
71,5, ,autonomous,0,1,0,82.1995880064,1,0,-1.665510548,15,0,15,-1.665510548,1,15.6732235789,4.03,4.08,444.6025253423, ,0, ,0,83,-0.07,0,sunny,4.7624309392,0,-11.0901397232,-0.0197714652
72,5, ,autonomous,0,1,0,82.0210574502,1,0,-6.2720756969,20,0,20,-6.2720756969,1,15.6363728208,4.06,4,420.2210362651, ,0, ,0,82,-0.025,0,sunny,4.7624309392,0,-3.8290190975,0.0247396773
73,5, ,autonomous,0,1,0,82.0210574502,1,0,-8.8131194754,15,0,15,-8.8131194754,1,15.6709515935,3.87,3.79,420.2210362651, ,0, ,0,94,-0.2,0,sunny,4.7624309392,0,-1.5521068698,-0.0193200226
74,5, ,autonomous,0,1,0,82.0210574502,1,0,-10.5888333319,20,0,20,-10.5888333319,1,15.6397868556,5.47,3.78,424.5022710872, ,0, ,0,83,0.795,0,sunny,4.7624309392,0,-3.77043954,0.016315461
75,5, ,autonomous,0,1,0,82.0210574502,1,0,-11.330696279,15,0,15,-11.330696279,1,15.6676040711,5,3.86,439.9084990322, ,0, ,0,85,-0.195,0,sunny,4.7624309392,0,-7.8191217881,-0.0046136978
76,5, ,autonomous,0,1,0,82.0210574502,1,0,-15.2845578288,20,0,20,-15.2845578288,1,15.645238411,4.06,3.99,458.9893055492, ,0, ,0,84,-0.405,0,sunny,4.7624309392,0,-7.1144715601,0.0060161178
77,5, ,autonomous,0,1,0,82.0210574502,1,0,-13.0769448123,15,0,15,-13.0769448123,1,15.6635270614,5,3.98,474.0010428023, ,0, ,0,81,0.465,0,sunny,4.7624309392,0,-6.6729179299,0.0056095148
78,5, ,autonomous,0,1,0,82.0210574502,1,0,-12.7983550657,15,0,15,-12.7983550657,1,15.6521241652,5,3.97,484.3318641933, ,0, ,0,78,-0.005,0,sunny,4.7624309392,0,64.15715314,-0.0058112952
79,5, ,autonomous,0,1,0,82.0210574502,1,0,-13.8169263653,15,0,15,-13.8169263653,1,15.6589894059,4.18,3.99,493.6565137977, ,0, ,0,84,-0.4,0,sunny,4.7624309392,0,57.0492647484,0.0139894621
80,5, ,autonomous,0,1,0,82.0210574502,1,0,-12.7556502713,15,0,15,-12.7556502713,1,15.6534521138,5,4.06,504.1084841458, ,0, ,0,84,0.445,0,sunny,4.7624309392,0,58.1603553236,-0.0122247593
81,5, ,autonomous,0,1,0,82.0210574502,1,0,-10.1010947944,15,0,15,-10.1010947944,1,15.661112498,4.35,4.14,512.6364894653, ,0, ,0,88,-0.285,0,sunny,4.7624309392,0,56.3928614762,0.0134877568
82,5, ,autonomous,0,1,0,82.0210574502,1,0,-10.3652263452,15,0,15,-10.3652263452,1,15.6516315709,4.3,4.07,519.8315745698, ,0, ,0,81,-0.06,0,sunny,4.7624309392,0,60.4208393193,-0.0152203942
83,5, ,autonomous,0,1,0,82.0210574502,1,0,-14.3592728718,15,0,15,-14.3592728718,1,15.6561023167,5,3.96,527.6487969607, ,0, ,0,80,0.295,0,sunny,4.7624309392,0,63.046339921,0.0206018683
84,5, ,autonomous,0,1,0,82.0210574502,1,0,-19.1498180671,15,0,15,-19.1498180671,1,15.6629903733,4.08,3.82,536.1355350633, ,0, ,0,81,-0.53,0,sunny,4.7624309392,0,68.6319315221,-0.0245429001
85,5, ,autonomous,0,1,0,82.0210574502,1,0,-22.3990293889,15,0,15,-22.3990293889,1,15.6512545288,5,3.65,544.0104450005, ,0, ,0,85,0.375,0,sunny,4.7624309392,0,71.9635635175,0.0229596236
86,5, ,autonomous,0,1,0,81.8837262531,1,0,-19.7498627423,15,0,15,-19.7498627423,1,15.6691365762,4.26,4.05,553.0361685654, ,0, ,0,79,-0.17,0,sunny,4.7624309392,0,67.0956526356,-0.0332343532
87,5, ,autonomous,0,1,0,76.4316777295,1,0,51.3587980743,20,0,20,51.3587980743,1,15.64631287,4.23,5,560.0044800358, ,0, ,0,72,0.46,0,sunny,4.7624309392,0,-1.1077325819,0.0270557537
88,5, ,autonomous,0,1,0,76.4481574731,1,0,43.2323383831,15,0,15,43.2323383831,1,15.672978868,4.1,3.9,565.227221343, ,0, ,0,88,-0.615,0,sunny,4.7624309392,0,5.3322397533,-0.0364756366
89,5, ,autonomous,0,1,0,76.4481574731,1,0,45.4047050524,20,0,20,45.4047050524,1,15.6412273545,3.75,3.71,572.0169317012, ,0, ,0,78,-0.27,0,sunny,4.7624309392,0,2.1689019988,0.0298476189
90,5, ,autonomous,0,1,0,76.4481574731,1,0,46.2917666819,15,0,15,46.2917666819,1,15.6746002549,3.94,3.77,559.5344673232, ,0, ,0,71,0.125,0,sunny,4.7624309392,0,3.2986336788,-0.0347048532
91,5, ,autonomous,0,1,0,76.4563973449,1,0,50.0556129741,20,0,20,50.0556129741,1,15.6364111767,3.74,5,555.3395901594, ,0, ,0,80,0.515,0,sunny,4.7624309392,0,-2.083225325,0.0312981479
92,5, ,autonomous,0,1,0,76.4563973449,1,0,48.6870670492,15,0,15,48.6870670492,1,15.676704185,4.4,3.97,561.8924537843, ,0, ,0,76,-0.185,0,sunny,4.7624309392,0,1.5601776128,-0.0313662126
93,5, ,autonomous,0,1,0,76.4563973449,1,0,49.482113455,20,0,20,49.482113455,1,15.6384474732,5,3.74,571.5265474081, ,0, ,0,73,0.185,0,sunny,4.7624309392,0,35.5073222303,0.0251743336
94,5, ,autonomous,0,1,0,76.4563973449,1,0,49.5645341285,15,0,15,49.5645341285,1,15.6742141524,5,3.9,578.9717461788, ,0, ,0,76,0.08,0,sunny,4.7624309392,0,40.4516732652,-0.6829823385
95,5, ,autonomous,0,1,0,76.4563973449,1,0,47.3457898933,20,0,20,47.3457898933,1,15.6359022229,4.38,4.03,587.6476464712, ,0, ,0,69,-0.245,0,sunny,4.7624309392,0,-54.5317650006,-5.807677008
96,5, ,autonomous,0,1,0,76.4563973449,1,0,50.2510654923,15,0,15,50.2510654923,1,15.6733686237,5,4.07,593.4013766912, ,0, ,0,72,0.33,0,sunny,4.7624309392,0,-60.1924068548,-12.4990592069
97,5, ,autonomous,0,1,0,76.4563973449,1,0,48.5645781364,20,0,20,48.5645781364,1,15.6365032314,4.1,3.9,599.2688919518, ,0, ,0,71,-0.535,0,sunny,4.7624309392,0,-57.4644946275,-15.6256248835
98,5, ,autonomous,0,1,0,76.4563973449,1,0,47.5736070512,15,0,15,47.5736070512,1,15.6710749734,3.67,3.59,606.3545961678, ,0, ,0,78,-0.37,0,sunny,4.7624309392,0,-56.4565839983,-15.6707121199
99,5, ,autonomous,0,1,0,76.4563973449,1,0,49.5904003607,20,0,20,49.5904003607,1,15.6398954016,3.86,3.55,599.8080614203, ,0, ,0,70,0.075,0,sunny,4.7624309392,0,-58.623970317,-15.2888807006
100,5, ,autonomous,0,1,0,76.4563973449,1,0,47.9723876491,15,0,15,47.9723876491,1,15.6677093246,4.25,5,585.5829478246, ,0, ,0,73,0.92,0,sunny,4.7624309392,0,-56.2998142623,-13.5018644974
101,5, ,autonomous,0,1,0,76.4563973449,1,0,50.247244662,20,0,20,50.247244662,1,15.6453379724,4.13,5,589.2057506481, ,0, ,0,82,-0.06,0,sunny,4.7624309392,0,-53.8118549886,-11.8764485247
102,5, ,autonomous,0,1,0,76.4481574731,1,0,84.9894356853,0,0,0,84.9894356853,1,15.6636218068,4.65,4.47,600.889316188, ,0,pedestrian detected,37.8344955444,72,-0.005,0,sunny,4.7624309392,0,-86.2951474904,-11.0147451654
103,4, ,autonomous,0,1,0,73.7399862669,1,45.6888484955,90.0162073937,0,45.6888484955,0,90.0162073937,1,14.9912318139,4.76,4.66,602.5185274447, ,0,pedestrian detected,23.6078491211,71,0.15,0,sunny,4.7624309392,-1,-90.868441623,-9.8307812151
104,4, ,autonomous,7.4570840009,1,0,77.2941176471,1,100,-7.1859751073,0,100,0,-7.1859751073,1,9.8282252149,4.76,4.65,546.239143497, ,0,pedestrian detected,10.0636663437,78,-0.005,0,sunny,4.7624309392,0,6.5135855034,-3.7820064566
105,4, ,autonomous,7.3105973907,1,0,77.2941176471,1,100,-9.9413413625,0,100,0,-9.9413413625,1,3.1743094168,4.98,4.92,468.6694474387,pedestrian detected,4.5030021667,pedestrian detected,3.5808062553,70,0.245,0,sunny,4.7624309392,0,9.4059850048,3.4899621168
